Префикс;Производитель;Наименование;Цвет;СО;РО;РОС;Р;П;ОП;"Возвр. на склад"
"Прогулочная коляска";Cam;Microair;33;0;0;0;0;0;0;0
"Прогулочная коляска";Cam;"Portofino - Прогулочная коляска";45;0;0;0;0;0;0;0
"Прогулочная коляска";Cam;"Pretty Cross";133;0;0;0;0;0;0;0
"Прогулочная коляска";Cam;Flip;39;0;0;0;0;0;0;0
"Универсальная коляска";Cam;"Dinamico (3 в 1)";176;0;0;0;0;0;0;0
"Универсальная коляска";Cam;"Elegant Family (3 в 1)";95;0;0;0;0;0;0;0
"Универсальная коляска";Cam;"Cortina X3 Evolution (Exclusive) (3 в 1)";175;0;0;0;0;0;0;0
"Модульная коляска 3 в 1";Cam;"Cortina X3 Tris Evolution (3 в 1)";159;0;0;0;0;0;0;0
"Детское автокресло";Cam;"Area Zero+";178;0;0;0;0;0;0;0
"Детское автокресло";Cam;"Viaggiosicuro Isofix";211;0;0;0;0;0;0;0
"Детское автокресло";Cam;"Gara 0.1";153;0;0;0;0;0;0;0
"Детское автокресло";Cam;Cushion;"синий в клетку";0;0;0;0;0;0;0
"Детское автокресло";Cam;"Pony Baby";"красный с черным";0;0;0;0;0;0;0
"Детское автокресло";Cam;"Travel Evolution";211;0;0;0;0;0;0;0
"Универсальная коляска 3 в 1";Cam;"Cortina X3 Special (3 в 1)";"цвет 115";0;0;0;0;0;0;0
"Детский манеж";Cam;America;198;0;0;0;0;0;0;0
"Стул для кормления";Cam;Campione;"цвет 198";0;0;0;0;0;0;0
"Стул для кормления";Cam;"Mini Plus";215;0;0;0;0;0;0;0
"Стул для кормления";Cam;I-dea;197;0;0;0;0;0;0;0
"Стул для кормления";Cam;Smarty;c27;0;0;0;0;0;0;0
"Пеленальный матрас";Cam;"Baby Block";;0;0;0;0;0;0;0
"Пеленальный матрас";Cam;"Fasciatoio Asia";грибок;0;0;0;0;0;0;0
"Ванна для купания";Cam;"Baby Bagno";U28;0;0;0;0;0;0;0
"Ванна для купания";Cam;Bollicina;U28;0;0;0;0;0;0;0
"Универсальная коляска";Cam;"Combi Family (3 в 1)";162;0;0;0;0;0;0;0
"Универсальная коляска";Cam;"Combi Elite (3 в 1)";"цвет 139";0;0;0;0;0;0;0
"Универсальная коляска";Cam;"Pulsar (3 в 1)";181;0;0;0;0;0;0;0
"Универсальная коляска";Cam;"Pulsar Siderale (3 в 1)";121;0;0;0;0;0;0;0
"Универсальная коляска";Cam;"Combi Emotion (3 в 1)";"цвет 116";0;0;0;0;0;0;0
"Детский манеж";Cam;Brevettato;"цвет 198";0;0;0;0;0;0;0
"Детский манеж";Cam;Lusso;198;0;0;0;0;0;0;0
"Детский манеж-кровать";Cam;"Daily Plus";198;0;0;0;0;0;0;0
"Детские ходунки";Cam;Bubu;"цвет С";0;0;0;0;0;0;0
"Детские качели";Cam;Nannarock;198;0;0;0;0;0;0;0
"Детский шезлонг";Cam;Giocam;188;0;0;0;0;0;0;0
"Детские качели";Cam;Gironanna;198;0;0;0;0;0;0;0
"Детские ходунки";Cam;Balla-Balla;;0;0;0;0;0;0;0
"Детский шезлонг";Cam;Ninnananna;"цвет 72";0;0;0;0;0;0;0
"Подставка под ванну";Cam;"Stand Universale";;1;1;1;0;0;0;0
"Пеленальный стол";Cam;"Volare - Пеленальный стол";198;0;0;0;0;0;0;0
"Детский пеленальный комод";Cam;Asia;bianca;0;0;0;0;0;0;0
"Детское сидение на унитаз";Cam;Upper;"U 22";0;0;0;0;0;0;0
"Детское сидение на унитаз";Cam;"Riduttore Toilette";"цвет U23";0;0;0;0;0;0;0
"Детский горшок";Cam;Dudu;"U 31";0;0;0;0;0;0;0
"Универсальная коляска";Chicco;"Trio Activ3 (3 в 1)";"Red Wave";0;0;0;0;0;0;0
"Универсальная коляска";Chicco;"Trio Living Smart (3 в 1)";Wasabi;0;0;0;0;0;0;0
"Универсальная коляска";Chicco;"Enjoy Fun (3 в 1)";blue;0;0;0;0;0;0;0
"Стул для кормления";Chicco;"Polly (2 в 1)";Butterfly;0;0;0;0;0;0;0
"Стул для кормления";Chicco;"Polly Magic";"Baby Sketching";0;0;0;0;0;0;0
"Детское автокресло";Chicco;"Key 1 IsoFix";"Синий с серым";0;0;0;0;0;0;0
"Детское автокресло";Chicco;"Xpace IsoFix";Красный;0;0;0;0;0;0;0
"Детское автокресло";Chicco;Eletta;Jasper;0;0;0;0;0;0;0
"Детское автокресло";Chicco;Neptune;Romantic;0;0;0;0;0;0;0
"Детский манеж-кровать";Chicco;Lullaby;бежевый;0;0;0;0;0;0;0
"Детский манеж";Chicco;"Easy Sleep";"Light Blue";0;0;0;0;0;0;0
"Детский манеж";Chicco;Spring;Orange;0;0;0;0;0;0;0
"Детские ходунки";Chicco;"Band Baby Walker";Blue;0;0;0;0;0;0;0
"Детские качели";Chicco;"Polly Swing";"Flower Power";0;0;0;0;0;0;0
"Детские ходунки";Chicco;DJ;"Water Lily";0;0;0;0;0;0;0
"Прогулочная коляска";Peg-Perego;"Aria Twin";Marte;0;0;0;0;0;0;0
"Прогулочная коляска для двойни";Peg-Perego;"Duette Pop-Up - Коляска для двойни";Java;0;0;0;0;0;0;0
"Классическая коляска";Peg-Perego;"Culla - Коляска для новорожденных";Scozia;0;0;0;0;0;0;0
"Классическая коляска";Peg-Perego;Young;"Denim Black";0;0;0;0;0;0;0
"Универсальная коляска";Peg-Perego;"GT3 Modular System (3 в 1)";Denim;0;0;0;0;0;0;0
"Универсальная коляска";Peg-Perego;"Pliko P3 Compact Completo (3 в 1)";Denim;0;0;0;0;0;0;0
"Универсальная коляска";Peg-Perego;"Switch Four Completo Modular (3 в 1)";"Eclipse 2014";0;0;0;0;0;0;0
"Универсальная коляска";Peg-Perego;"Pliko Switch Easy Drive Modular (3 в 1)";"Oceano 2014";0;0;0;0;0;0;0
"Универсальная коляска";Peg-Perego;"Pliko Switch On Track Modular (3 в 1)";Beauty;0;0;0;0;0;0;0
"Прогулочная коляска";Peg-Perego;Aria;"Marte 2013";0;0;0;0;0;0;0
"Стул для кормления";Peg-Perego;"Zero 3";"Arancia 2014";0;0;0;0;0;0;0
"Стул для кормления";Peg-Perego;"Prima Pappa Diner - Стульчик для кормления";"Savana Cacao";0;0;0;0;0;0;0
"Стул для кормления";Peg-Perego;"Prima Pappa Best";Nuvola;0;0;0;0;0;0;0
"Стул для кормления";Peg-Perego;"Tatamia - Стульчик для кормления";aquamarine;0;0;0;0;0;0;0
"Стул для кормления";Peg-Perego;Siesta;Noce;0;0;0;0;0;0;0
"Детское автокресло";Peg-Perego;"Primo Viaggio Tri-Fix POP UP";Java;0;0;0;0;0;0;0
