Бренд;Название;"Цена в у.е.";"Цена в бел.руб."
Cam;Microair;157.00;314
Cam;"Portofino - Прогулочная коляска";165.00;330
Cam;Flip;130.00;260
Cam;"Elegant Family (3 в 1)";568.00;1136
Cam;"Cortina X3 Evolution (Exclusive) (3 в 1)";696.00;1392
Cam;"Cortina X3 Tris Evolution";800.00;1600
Cam;"Area Zero+";122.00;244
Cam;"Viaggiosicuro Isofix";205.00;410
Cam;"Gara 0.1";0.00;250.00
Cam;"Travel Evolution";140.00;280
Cam;America;140.00;280
Cam;Campione;152.00;304
Cam;"Mini Plus";87.50;175
Cam;I-dea;96.00;192
Cam;Smarty;70.00;140
Cam;"Fasciatoio Asia";50.00;100
Cam;"Baby Bagno";50.00;100
Cam;Bollicina;40.00;80
Cam;"Combi Family (3 в 1)";550.00;1100
Cam;Brevettato;130.00;260
Cam;Lusso;97.00;194
Cam;"Daily Plus";140.00;280
Cam;Nannarock;88.00;176
Cam;Giocam;0.00;150.00
Cam;Gironanna;160.00;320
Cam;"Stand Universale";50.00;100
Cam;"Volare - Пеленальный стол";112.00;224
Cam;Asia;230.00;460
Cam;Upper;36.00;72
Cam;Dudu;39.00;78
Chicco;"Trio Activ3";0.00;1720.00
Chicco;"Polly (2 в 1)";155.00;310
Chicco;"Polly Magic Pink";0.00;445.00
Chicco;Eletta;0.00;337.00
Peg-Perego;"Zero 3";0.00;300.00
Peg-Perego;"Tatamia - Стульчик для кормления";295.00;590
Peg-Perego;Siesta;0.00;447.00
Peg-Perego;"Primo Viaggio Tri-Fix POP UP";192.00;384
Peg-Perego;"Viaggio1 Duo-Fix K";255.00;510
Peg-Perego;"Viaggio 0+ 1 Switchable";250.00;500
Peg-Perego;"Viaggio 2-3 Surefix";180.00;360
Emmaljunga;"City Cross";700.00;1400
Emmaljunga;"Classic Sport";770.00;1540
Emmaljunga;"Mondial Duo Combi - Коляска для новорожденных";1030.00;2060
Emmaljunga;"Edge Duo Combi";1000.00;2000
Emmaljunga;Exclusive;163.08;326.16
Emmaljunga;Sport;130.00;260
Cam;"Minu Teddy (3 в 1)";672.00;1344
Cam;"Minu Elite (3 в 1)";620.00;1240
Inglesina;"Amerigo HSA";300.00;600
Inglesina;"Amerigo HSA Isofix";486.00;972
Inglesina;"Prime Miglia";245.00;490
Inglesina;"Prime Miglia I-Fix";290.00;580
Inglesina;Sofia;550.00;1100
Inglesina;"Vittoria - Коляска для новорожденных";526.00;1052
Inglesina;Classica;862.00;1724
Cam;"Kit Auto";0.00;126.75
STM;"Twin One chocco";270.00;540
